-1109.797,-1690.808,4.375014
-821.6062,-1081.885,11.13243
-537.8409,-854.5145,29.28953
-1315.744,-834.6907,16.96173
-1314.786,-835.9669,16.96015
-1570.069,-546.6727,34.95547
-1571.018,-547.3666,34.95734
-866.6416,-187.8008,37.84286
-867.6165,-186.1373,37.8433
-721.1284,-415.5296,34.98175
-254.3758,-692.4947,33.63751
24.37422,-946.0142,29.35756
130.1186,-1292.669,29.26953
129.7023,-1291.954,29.26953
129.2096,-1291.14,29.26953
288.8256,-1282.364,29.64128
1077.768,-776.4548,58.23997
527.2687,-160.7156,57.08937
-867.5897,-186.1757,37.84291
-866.6556,-187.7766,37.84278
-1205.024,-326.2916,37.83985
-1205.703,-324.7474,37.85942
-1570.167,-546.7214,34.95663
-1571.056,-547.3947,34.95724
-57.64693,-92.66162,57.77995
527.3583,-160.6381,57.0933
-165.1658,234.8314,94.92194
-165.1503,232.7887,94.92194
-2072.445,-317.3048,13.31597
-3241.082,997.5428,12.55044
-1091.462,2708.637,18.95291
1172.492,2702.492,38.17477
1171.537,2702.492,38.17542
1822.637,3683.131,34.27678
1686.753,4815.806,42.00874
1701.209,6426.569,32.76408
-95.54314,6457.19,31.46093
-97.23336,6455.469,31.46682
-386.7451,6046.102,31.50172
-1091.42,2708.629,18.95568
5.132,-919.7711,29.55953
-660.703,-853.971,24.484
-2293.827,354.817,174.602
-2294.637,356.553,174.602
-2295.377,358.241,174.648
-1409.782,-100.41,52.387
-1410.279,-98.649,52.436
