-2166.778, 4277.031, 47.68272
-511.3659, 5241.658, 79.04357
1312.511, 4360.152, 39.61497
43.9673, 6299.289, 29.97272
2687.317, 3456.684, 54.50742
2901.753, 4385.842, 49.06684
2353.41, 3133.802, 46.51695
1413.278, 3620.634, 33.19873
307.4537, 2879.754, 41.80618
210.9924, 2788.848, 43.96303
260.4843, 2601.526, 43.14191
-777.3167, 5579.699, 31.73984
-690.851, 5776.466, 15.58438
425.5452, 6528.609, 25.9662
-18.7539, 6437.507, 30.0103
136.5923, 6629.162, 30.24953
2535.139, 2588.194, 36.2828
2554.997, 343.0809, 106.8489
1742.728, -1540.38, 111.0455
