177.9789, 485.9644, 140.5382
107.524, 498.3205, 145.4332
113.3359, 500.1612, 145.4333
87.74583, 487.4763, 146.126
90.43166, 489.2949, 146.138
64.79197, 456.1829, 145.1074
54.82064, 468.0289, 145.1017
0.2403838, 468.0808, 144.1744
-78.39194, 496.816, 142.7338
-73.49095, 494.6809, 142.8005
-123.5387, 509.0584, 141.3004
13.95807, 546.4044, 174.3227
98.36842, 566.4818, 180.7941
131.8628, 567.1844, 181.9092
149.5275, 569.408, 182.1743
228.8922, 681.572, 187.937
-188.694, 501.4907, 132.8086
-245.0238, 493.2952, 124.2236
-250.4201, 481.8958, 124.8285
-353.9833, 475.0432, 111.0059
-360.4059, 514.6557, 117.9628
-378.5988, 524.5455, 119.6423
-408.2842, 560.377, 122.6874
-412.2481, 553.1394, 121.6553
-470.1076, 542.1794, 119.1454
-521.4918, 575.046, 119.3509
-477.7113, 598.1161, 125.9034
-559.7399, 686.1212, 143.7003
-555.272, 665.4655, 143.2717
-615.4985, 676.6488, 148.1543
-700.2194, 711.6574, 156.2725
-667.3583, 669.8038, 148.6927
-714.6932, 644.7866, 153.4604
-710.4031, 642.7325, 153.4611
-670.533, 645.4733, 147.6444
-753.5766, 627.6206, 140.8712
-768.1185, 665.1574, 143.363
-861.7398, 698.8438, 147.2848
-1022, 691.9426, 159.4742
-1057.288, 734.9493, 163.7353
-1053.251, 767.1565, 165.9244
-1041.163, 796.5427, 165.5955
-965.7299, 762.1393, 173.7224
-963.3073, 764.2854, 173.7346
-988.824, 824.3959, 170.6815
-992.1586, 815.6873, 170.8611
-955.6749, 800.2008, 176.229
-851.6292, 791.9517, 190.1141
-811.2607, 807.0603, 200.4391
-747.2076, 817.0696, 211.6635
-681.7333, 918.0709, 230.391
-677.0021, 903.0555, 228.8629
-609.9366, 867.1143, 211.9403
-552.9721, 831.426, 196.2428
-497.9422, 746.0593, 161.1164
-525.8298, 528.4117, 110.3285
-686.3751, 502.1203, 108.3818
-714.6556, 497.9315, 107.5649
-717.284, 496.5779, 107.5639
-737.0599, 442.859, 105.1705
