110411286,232.6054,214.1584,106.4049
110411286,231.5123,216.5177,106.4049
110411286,260.6432,203.2052,106.4049
110411286,258.2022,204.1005,106.4049
1956494919,237.7704,227.87,106.426
1956494919,236.5488,228.3147,110.4328
110411286,259.9831,215.2468,106.4049
110411286,259.0879,212.8062,106.4049
1956494919,256.6172,206.1522,110.4328
964838196,260.8579,210.4453,110.4328
964838196,262.5366,215.0576,110.4328
-1148826190,82.38156,-1390.476,29.52609
868499217,82.38156,-1390.752,29.52609
270330101,723.116,-1088.831,23.23201
-550347177,-356.0905,-134.7714,40.01295
-550347177,-1145.898,-1991.144,14.18357
-822900180,1174.656,2644.159,40.50673
-822900180,1182.307,2644.166,40.50784
1335311341,1187.202,2644.95,38.55176
1544229216,1182.646,2641.182,39.31031
-822900180,114.3135,6623.233,32.67305
-822900180,108.8502,6617.877,32.67305
1335311341,105.1518,6614.655,32.58521
1544229216,105.7772,6620.532,33.34266
-8873588,842.7685,-1024.539,28.34478
97297972,845.3694,-1024.539,28.34478
-8873588,-662.6415,-944.3256,21.97915
97297972,-665.2424,-944.3256,21.97915
-8873588,810.5769,-2148.27,29.76892
97297972,813.1779,-2148.27,29.76892
452874391,827.5342,-2160.493,29.76884
-8873588,18.572,-1115.495,29.94694
97297972,16.12787,-1114.606,29.94694
452874391,6.81789,-1098.209,29.94685
-8873588,243.8379,-46.52324,70.09098
97297972,244.7275,-44.07911,70.09098
-1922281023,-715.6154,-157.2561,37.67493
-1922281023,-716.6755,-155.42,37.67493
-1922281023,-1456.201,-233.3682,50.05648
-1922281023,-1454.782,-231.7927,50.05649
-1922281023,-156.439,-304.4294,39.99308
-1922281023,-157.1293,-306.4341,39.99308
1780022985,-1201.435,-776.8566,17.99184
1780022985,127.8201,-211.8274,55.22751
1780022985,617.2458,2751.022,42.75777
1780022985,-3167.75,1055.536,21.53288
-1212951353,-2973.535,390.1414,15.18735
1173348778,-2965.648,386.7928,15.18735
1173348778,-2961.749,390.2573,15.19322
-1212951353,-1490.411,-383.8453,40.30745
1173348778,-1482.679,-380.153,40.30745
1173348778,-1482.693,-374.9365,40.31332
-1212951353,-1226.894,-903.1218,12.47039
1173348778,-1224.755,-911.4182,12.47039
1173348778,-1219.633,-912.406,12.47626
-1212951353,1141.038,-980.3225,46.55986
1173348778,1132.645,-978.6059,46.55986
1173348778,1129.51,-982.7756,46.56573
145369505,-822.4442,-188.3924,37.81895
-1663512092,-823.2001,-187.0831,37.81895
-1844444717,-29.86917,-148.1571,57.22648
-1844444717,1932.952,3725.154,32.9944
1417577297,-37.33113,-1108.873,26.7198
2059227086,-39.13366,-1108.218,26.7198
1417577297,-60.54582,-1094.749,26.88872
2059227086,-59.89302,-1092.952,26.88362
-2051651622,-33.80989,-1107.579,26.57225
-2051651622,-31.72353,-1101.847,26.57225
520341586,-14.86892,-1441.182,31.19323
703855057,-25.2784,-1431.061,30.83955
-1116041313,127.9552,-1298.503,29.41962
668467214,96.09197,-1284.854,29.43878
-626684119,99.08321,-1293.701,29.41868
-495720969,113.9822,-1297.43,29.41868
-1881825907,116.0046,-1294.692,29.41947
741314661,1844.998,2597.482,44.63626
741314661,1818.543,2597.482,44.60749
741314661,1806.939,2616.975,44.60093
320433149,434.7479,-983.2151,30.83926
-1215222675,434.7479,-980.6184,30.83926
-2023754432,469.9679,-1014.452,26.53623
-2023754432,467.3716,-1014.452,26.53623
-1033001619,463.4782,-1003.538,25.00599
631614199,461.8065,-994.4086,25.06443
631614199,461.8065,-997.6583,25.06443
631614199,461.8065,-1001.302,25.06443
631614199,464.5701,-992.6641,25.06443
-1320876379,446.5728,-980.0106,30.8393
185711165,450.1041,-984.0915,30.8393
185711165,450.1041,-981.4915,30.8393
749848321,453.0793,-983.1895,30.83926
1557126584,450.1041,-985.7384,30.8393
-2023754432,452.6248,-987.3626,30.8393
749848321,461.2865,-985.3206,30.83926
-340230128,464.3613,-984.678,43.83443
185711165,443.4078,-989.4454,30.8393
185711165,446.0079,-989.4454,30.8393
-131296141,443.0298,-991.941,30.8393
-131296141,443.0298,-994.5412,30.8393
-1603817716,488.8923,-1011.67,27.14583
